timestamp,symbol,timeframe,open,high,low,close,volume,ha_open,ha_high,ha_low,ha_close,psar_value,psar_signal,stochastic_k,stochastic_d,k_in_range,psar_signal_match,candle_color,candle_type,candle_conditions_met,alert_triggered,scan_id,scan_name,condition_id,kline_start,kline_end,signaldirection,processing_time,error_message
2025-10-30 09:23:00,BANKNIFTY25NOV66000CE,2minute,8.3,8.3,8.25,8.25,0,8.25,8.3,8.25,8.28,8.3,-1,0,0,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 09:26:24,"K value 0 out of range [10, 100]"
2025-10-30 09:27:00,BANKNIFTY25NOV66000CE,2minute,9.2,9.2,9.2,9.2,0,8.49,9.2,8.49,9.2,8.25,0,0,0,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 09:30:31,"K value 0 out of range [10, 100]"
2025-10-30 09:33:00,BANKNIFTY25NOV66000CE,2minute,8.75,9.2,8.75,9.2,0,8.95,9.2,8.75,8.98,8.39,0,0,0,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 09:36:38,"K value 0 out of range [10, 100]"
2025-10-30 09:41:00,BANKNIFTY25NOV66000CE,2minute,8.95,9.05,8.8,9.05,0,9.14,9.14,8.8,8.96,9.9,-1,0,0,False,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 09:44:05,"K value 0 out of range [10, 100]"
2025-10-30 09:59:00,BANKNIFTY25NOV66000CE,2minute,9.4,9.4,9.4,9.4,0,9.21,9.4,9.21,9.4,9.53,0,0,0,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 10:02:41,"K value 0 out of range [10, 100]"
2025-10-30 10:07:00,BANKNIFTY25NOV66000CE,2minute,9.75,9.9,9.75,9.9,0,9.61,9.9,9.61,9.82,8.89,0,0,0,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 10:10:35,"K value 0 out of range [10, 100]"
2025-10-30 11:11:00,BANKNIFTY25NOV66000CE,2minute,9.5,9.5,9.5,9.5,0,9.49,9.5,9.49,9.5,9.15,0,0.0,0.0,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 11:14:12,"K value 0.0 out of range [10, 100]"
2025-10-30 11:13:00,BANKNIFTY25NOV66000CE,2minute,9.5,9.5,9.5,9.5,0,9.49,9.5,9.49,9.5,9.17,0,0.0,0.0,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 11:16:20,"K value 0.0 out of range [10, 100]"
2025-10-30 11:31:00,BANKNIFTY25NOV66000CE,2minute,9.05,9.05,9.05,9.05,0,9.07,9.07,9.05,9.05,9.44,0,0.0,0.0,False,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 11:34:42,"K value 0.0 out of range [10, 100]"
2025-10-30 11:49:00,BANKNIFTY25NOV66000CE,2minute,9.4,9.4,9.4,9.4,0,9.26,9.4,9.26,9.4,9.07,0,0.0,0.0,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 11:52:14,"K value 0.0 out of range [10, 100]"
