timestamp,symbol,timeframe,open,high,low,close,volume,ha_open,ha_high,ha_low,ha_close,psar_value,psar_signal,stochastic_k,stochastic_d,k_in_range,psar_signal_match,candle_color,candle_type,candle_conditions_met,alert_triggered,scan_id,scan_name,condition_id,kline_start,kline_end,signaldirection,processing_time,error_message
2025-10-23 09:23:00,BANKNIFTY25OCT55300CE,1minute,2898.65,2898.65,2882.9,2882.9,0,2931.32,2931.32,2882.9,2890.78,2815.94,0,15.0,4.03,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:24:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:24:00,BANKNIFTY25OCT55300CE,1minute,2882.9,2882.9,2882.9,2882.9,0,2911.05,2911.05,2882.9,2882.9,2832.35,0,16.44,4.2,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:25:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:25:00,BANKNIFTY25OCT55300CE,1minute,2882.9,2882.9,2882.9,2882.9,0,2896.97,2896.97,2882.9,2882.9,2847.11,0,17.87,4.4,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:26:00,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:26:00,BANKNIFTY25OCT55300CE,1minute,2882.9,2995.1,2882.9,2995.1,0,2889.94,2995.1,2882.9,2939.0,2860.4,0,19.87,4.64,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:27:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:27:00,BANKNIFTY25OCT55300CE,1minute,2995.1,2995.1,2923.8,2923.8,0,2914.47,2995.1,2914.47,2959.45,2880.61,0,21.47,4.91,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:28:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:28:00,BANKNIFTY25OCT55300CE,1minute,2923.8,2923.8,2923.8,2923.8,0,2936.96,2936.96,2923.8,2923.8,2882.9,0,23.08,5.22,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:29:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:29:00,BANKNIFTY25OCT55300CE,1minute,2923.8,2923.8,2923.8,2923.8,0,2930.38,2930.38,2923.8,2923.8,2899.73,0,24.68,5.55,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:30:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:30:00,BANKNIFTY25OCT55300CE,1minute,2923.8,3073.05,2923.8,3073.05,0,2927.09,3073.05,2923.8,2998.42,2914.04,0,26.68,5.93,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:31:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:31:00,BANKNIFTY25OCT55300CE,1minute,3073.05,3073.05,3044.8,3044.8,0,2962.76,3073.05,2962.76,3058.92,2923.8,0,28.55,6.35,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:32:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:32:00,BANKNIFTY25OCT55300CE,1minute,3044.8,3044.8,3044.8,3044.8,0,3010.84,3044.8,3010.84,3044.8,2923.8,0,30.42,6.82,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:33:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:33:00,BANKNIFTY25OCT55300CE,1minute,3044.8,3044.8,3044.8,3044.8,0,3027.82,3044.8,3027.82,3044.8,2953.65,0,32.29,7.33,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:34:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:34:00,BANKNIFTY25OCT55300CE,1minute,3044.8,3044.8,3044.8,3044.8,0,3036.31,3044.8,3036.31,3044.8,2977.53,0,34.16,7.89,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:35:00,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:35:00,BANKNIFTY25OCT55300CE,1minute,3044.8,3044.8,3044.8,3044.8,0,3040.56,3044.8,3040.56,3044.8,2996.63,0,36.03,8.5,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:36:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:36:00,BANKNIFTY25OCT55300CE,1minute,3044.8,3044.8,3044.8,3044.8,0,3042.68,3044.8,3042.68,3044.8,3011.92,0,37.9,9.15,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:37:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:37:00,BANKNIFTY25OCT55300CE,1minute,3044.8,3044.8,3044.8,3044.8,0,3043.74,3044.8,3043.74,3044.8,3024.14,0,39.77,9.84,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:38:03,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:38:00,BANKNIFTY25OCT55300CE,1minute,3044.8,3044.8,3044.8,3044.8,0,3044.27,3044.8,3044.27,3044.8,3033.93,0,41.64,10.59,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:39:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:39:00,BANKNIFTY25OCT55300CE,1minute,3044.8,3044.8,3044.8,3044.8,0,3044.53,3044.8,3044.53,3044.8,3041.75,0,43.51,11.38,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:40:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:40:00,BANKNIFTY25OCT55300CE,1minute,3044.8,3044.8,3044.8,3044.8,0,3044.67,3044.8,3044.67,3044.8,3073.05,-1,45.38,12.21,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:41:02,"PSAR signal mismatch: expected 1, got -1.0"
2025-10-23 09:41:00,BANKNIFTY25OCT55300CE,1minute,3044.8,3044.8,3044.8,3044.8,0,3044.73,3044.8,3044.73,3044.8,3071.64,0,47.25,13.1,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:42:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:42:00,BANKNIFTY25OCT55300CE,1minute,3044.8,3199.1,3044.8,3199.1,0,3044.77,3199.1,3044.77,3121.95,3044.8,1,49.25,14.03,True,True,green,2,True,True,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:43:03,
2025-10-23 09:43:00,BANKNIFTY25OCT55300CE,1minute,3199.1,3199.1,3199.1,3199.1,0,3083.36,3199.1,3083.36,3199.1,3044.8,0,51.25,15.01,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:44:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:44:00,BANKNIFTY25OCT55300CE,1minute,3199.1,3199.1,3199.1,3199.1,0,3141.23,3199.1,3141.23,3199.1,3044.8,0,53.25,16.04,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:45:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:45:00,BANKNIFTY25OCT55300CE,1minute,3199.1,3199.1,3199.1,3199.1,0,3170.16,3199.1,3170.16,3199.1,3052.52,0,55.25,17.11,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:46:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:46:00,BANKNIFTY25OCT55300CE,1minute,3199.1,3199.1,3199.1,3199.1,0,3184.63,3199.1,3184.63,3199.1,3059.84,0,57.25,18.24,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:47:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:47:00,BANKNIFTY25OCT55300CE,1minute,3199.1,3199.1,3159.0,3159.0,0,3191.87,3199.1,3159.0,3179.05,3066.81,0,59.11,19.41,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:48:00,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:48:00,BANKNIFTY25OCT55300CE,1minute,3159.0,3159.0,3159.0,3159.0,0,3185.46,3185.46,3159.0,3159.0,3073.42,0,60.97,20.63,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:49:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:49:00,BANKNIFTY25OCT55300CE,1minute,3159.0,3159.0,3159.0,3159.0,0,3172.23,3172.23,3159.0,3159.0,3079.71,0,62.82,21.88,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:50:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:50:00,BANKNIFTY25OCT55300CE,1minute,3159.0,3159.0,3159.0,3159.0,0,3165.61,3165.61,3159.0,3159.0,3085.68,0,64.68,23.18,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:51:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:51:00,BANKNIFTY25OCT55300CE,1minute,3159.0,3159.0,3159.0,3159.0,0,3162.31,3162.31,3159.0,3159.0,3091.35,0,66.54,24.51,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:52:01,"PSAR signal mismatch: expected 1, got 0.0"
