timestamp,symbol,timeframe,open,high,low,close,volume,ha_open,ha_high,ha_low,ha_close,psar_value,psar_signal,stochastic_k,stochastic_d,k_in_range,psar_signal_match,candle_color,candle_type,candle_conditions_met,alert_triggered,scan_id,scan_name,condition_id,kline_start,kline_end,signaldirection,processing_time,error_message
2025-10-23 09:24:00,BANKNIFTY25OCT55300PE,3minute,16.3,16.95,16.1,16.15,0,14.96,16.95,14.96,16.38,10.0,1,21.08,12.52,True,True,green,2,True,True,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:24:06,
2025-10-23 09:27:00,BANKNIFTY25OCT55300PE,3minute,16.65,17.85,16.5,17.1,0,15.77,17.85,15.77,17.02,10.36,0,21.57,12.9,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:27:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:30:00,BANKNIFTY25OCT55300PE,3minute,16.8,16.8,16.5,16.65,0,16.36,16.8,16.36,16.69,11.11,0,21.93,13.28,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:30:00,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:33:00,BANKNIFTY25OCT55300PE,3minute,16.1,17.25,16.0,16.65,0,16.39,17.25,16.0,16.5,11.79,0,22.27,13.66,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:33:03,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:36:00,BANKNIFTY25OCT55300PE,3minute,16.45,16.95,16.45,16.75,0,16.42,16.95,16.42,16.65,12.39,0,22.65,14.05,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:36:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:39:00,BANKNIFTY25OCT55300PE,3minute,16.85,18.25,16.75,17.65,0,16.55,18.25,16.55,17.38,12.94,0,23.17,14.43,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:39:05,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:42:00,BANKNIFTY25OCT55300PE,3minute,17.35,18.05,17.2,17.8,0,16.94,18.05,16.94,17.6,13.73,0,23.67,14.82,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:42:03,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:45:00,BANKNIFTY25OCT55300PE,3minute,17.3,17.5,16.35,16.35,0,17.24,17.5,16.35,16.88,14.65,0,23.98,15.21,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:45:04,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:48:00,BANKNIFTY25OCT55300PE,3minute,17.15,17.7,16.75,17.65,0,17.16,17.7,16.75,17.31,15.38,0,24.57,15.6,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:48:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:51:00,BANKNIFTY25OCT55300PE,3minute,18.3,18.3,17.4,17.65,0,17.39,18.3,17.39,17.91,15.96,0,25.15,16.0,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:51:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:54:00,BANKNIFTY25OCT55300PE,3minute,17.95,17.95,16.85,16.85,0,17.69,17.95,16.85,17.4,16.43,0,25.6,16.4,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:54:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 09:57:00,BANKNIFTY25OCT55300PE,3minute,16.65,17.65,16.65,17.25,0,17.49,17.65,16.65,17.05,18.3,-1,26.23,16.81,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 09:57:03,"PSAR signal mismatch: expected 1, got -1.0"
2025-10-23 10:00:00,BANKNIFTY25OCT55300PE,3minute,17.25,17.25,16.35,16.35,0,17.27,17.27,16.35,16.8,18.22,0,26.58,17.22,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:00:00,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:03:00,BANKNIFTY25OCT55300PE,3minute,17.85,17.85,17.05,17.05,0,17.31,17.85,17.05,17.45,18.03,0,26.94,17.63,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:03:03,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:06:00,BANKNIFTY25OCT55300PE,3minute,17.05,17.3,17.05,17.05,0,17.38,17.38,17.05,17.11,17.95,0,27.17,18.03,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:06:06,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:09:00,BANKNIFTY25OCT55300PE,3minute,17.3,18.0,17.15,17.85,0,17.28,18.0,17.15,17.58,16.35,1,27.42,18.42,True,True,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:09:07,
2025-10-23 10:12:00,BANKNIFTY25OCT55300PE,3minute,17.95,18.2,17.35,17.8,0,17.46,18.2,17.35,17.82,16.44,0,27.67,18.8,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:12:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:15:00,BANKNIFTY25OCT55300PE,3minute,17.65,18.1,17.6,18.1,0,17.63,18.1,17.6,17.86,16.53,0,28.06,19.18,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:15:04,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:18:00,BANKNIFTY25OCT55300PE,3minute,18.2,18.3,17.8,18.3,0,17.79,18.3,17.79,18.15,16.71,0,28.53,19.56,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:18:03,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:21:00,BANKNIFTY25OCT55300PE,3minute,18.25,18.25,17.6,17.6,0,17.97,18.25,17.6,17.92,16.88,0,28.88,19.93,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:21:04,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:24:00,BANKNIFTY25OCT55300PE,3minute,17.6,17.6,17.2,17.55,0,17.95,17.95,17.2,17.49,17.02,0,29.24,20.3,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:24:03,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:27:00,BANKNIFTY25OCT55300PE,3minute,17.2,17.6,17.2,17.45,0,17.67,17.67,17.2,17.36,17.15,0,29.57,20.67,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:27:04,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:30:00,BANKNIFTY25OCT55300PE,3minute,17.75,17.75,17.45,17.45,0,17.57,17.75,17.45,17.6,17.15,0,30.04,21.04,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:30:01,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:33:00,BANKNIFTY25OCT55300PE,3minute,17.05,17.05,16.5,16.6,0,17.45,17.45,16.5,16.8,18.27,0,30.29,21.4,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:33:04,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:36:00,BANKNIFTY25OCT55300PE,3minute,16.35,16.35,16.0,16.0,0,17.07,17.07,16.0,16.18,18.08,0,30.48,21.76,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:36:03,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:39:00,BANKNIFTY25OCT55300PE,3minute,16.15,16.45,16.05,16.45,0,16.64,16.64,16.05,16.27,17.76,0,30.84,22.12,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:39:04,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:42:00,BANKNIFTY25OCT55300PE,3minute,16.5,16.65,16.2,16.2,0,16.47,16.65,16.2,16.39,17.49,0,31.17,22.47,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:42:03,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:45:00,BANKNIFTY25OCT55300PE,3minute,16.15,16.35,15.9,16.35,0,16.41,16.41,15.9,16.19,17.26,0,31.59,22.83,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:45:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:48:00,BANKNIFTY25OCT55300PE,3minute,16.35,16.35,15.85,15.85,0,16.3,16.35,15.85,16.1,16.99,0,31.97,23.19,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:48:03,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:51:00,BANKNIFTY25OCT55300PE,3minute,15.65,16.4,15.65,16.4,0,16.15,16.4,15.65,16.02,16.65,0,32.33,23.54,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:51:04,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:54:00,BANKNIFTY25OCT55300PE,3minute,16.2,16.2,15.9,15.9,0,16.06,16.2,15.9,16.05,16.4,0,32.56,23.9,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:54:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 10:57:00,BANKNIFTY25OCT55300PE,3minute,16.15,16.15,15.75,15.9,0,16.06,16.15,15.75,15.99,16.4,0,32.91,24.25,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 10:57:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 11:00:00,BANKNIFTY25OCT55300PE,3minute,15.7,15.7,15.7,15.7,0,15.99,15.99,15.7,15.7,16.21,0,33.21,24.6,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 11:00:02,"PSAR signal mismatch: expected 1, got 0.0"
2025-10-23 11:03:00,BANKNIFTY25OCT55300PE,3minute,15.7,16.45,15.7,16.15,0,15.85,16.45,15.7,16.0,15.65,1,33.59,24.95,True,True,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 11:03:02,
2025-10-23 11:06:00,BANKNIFTY25OCT55300PE,3minute,16.15,16.15,15.95,15.95,0,15.92,16.15,15.92,16.05,15.69,0,33.94,25.3,True,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-23 11:06:03,"PSAR signal mismatch: expected 1, got 0.0"
