timestamp,symbol,timeframe,open,high,low,close,volume,ha_open,ha_high,ha_low,ha_close,psar_value,psar_signal,stochastic_k,stochastic_d,k_in_range,psar_signal_match,candle_color,candle_type,candle_conditions_met,alert_triggered,scan_id,scan_name,condition_id,kline_start,kline_end,signaldirection,processing_time,error_message
2025-10-30 13:45:00,HDFCBANK25NOV1035CE,2minute,6.55,6.55,6.55,6.55,0,6.56,6.56,6.55,6.55,6.77,0,5.65,7.21,False,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 13:48:12,"K value 5.654474437695503 out of range [10, 100]"
2025-10-30 13:51:00,HDFCBANK25NOV1035CE,2minute,6.75,6.75,6.75,6.75,0,6.55,6.75,6.55,6.75,6.55,1,6.25,6.78,False,True,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 13:54:16,"K value 6.249069032290099 out of range [10, 100]"
2025-10-30 13:55:00,HDFCBANK25NOV1035CE,2minute,6.75,6.75,6.75,6.75,0,6.7,6.75,6.7,6.75,6.56,0,6.62,6.56,False,False,green,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-10-30 13:58:19,"K value 6.6156965293523795 out of range [10, 100]"
2025-11-03 09:15:00,HDFCBANK25NOV1035CE,2minute,4.25,4.25,3.5,3.5,0,4.26,4.26,3.5,3.88,4.3,-1,18.92,15.83,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:18:39,"PSAR signal mismatch: expected 1, got -1.0"
2025-11-03 09:17:00,HDFCBANK25NOV1035CE,2minute,3.5,3.55,3.45,3.5,0,4.07,4.07,3.45,3.5,4.26,0,18.84,15.89,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:20:45,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:19:00,HDFCBANK25NOV1035CE,2minute,3.55,3.55,3.45,3.45,0,3.78,3.78,3.45,3.5,4.25,0,18.68,15.95,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:22:48,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:21:00,HDFCBANK25NOV1035CE,2minute,3.45,3.45,3.3,3.3,0,3.64,3.64,3.3,3.38,4.17,0,18.43,16.0,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:24:34,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:23:00,HDFCBANK25NOV1035CE,2minute,3.3,3.3,3.3,3.3,0,3.51,3.51,3.3,3.3,4.04,0,18.19,16.05,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:26:40,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:25:00,HDFCBANK25NOV1035CE,2minute,3.3,3.3,3.2,3.25,0,3.4,3.4,3.2,3.26,3.93,0,17.97,16.1,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:28:42,"PSAR signal mismatch: expected 1, got 0.0"
2025-11-03 09:27:00,HDFCBANK25NOV1035CE,2minute,3.25,3.35,3.25,3.3,0,3.33,3.35,3.25,3.29,3.78,0,17.78,16.15,True,False,red,2,False,False,25,G6 B - S1,6,10.0,100.0,1,2025-11-03 09:31:02,"PSAR signal mismatch: expected 1, got 0.0"
